mesh_code,type,num,distance
5439312321,"super",4,9730.971031220273
5439312321,"super",3,8746.768006864058
5439312321,"super",2,16525.784297912556
5439312321,"super",1,9742.742081888458
5439312321,"super",0,16034.43525985355
5439312321,"byoin",5,9323.410953361936
5439312321,"byoin",4,16623.680644254266
5439312321,"byoin",3,15533.246132479138
5439312321,"byoin",2,8862.660346440902
5439312321,"byoin",1,16217.637738875863
5439312321,"byoin",0,15312.48483068596
5439312321,"jido",1,16846.98047872446
5439312321,"jido",0,15876.528713681078
5439312321,"shiryokanto",2,9204.589208420006
5439312321,"shiryokanto",1,9249.45292399887
5439312321,"shiryokanto",0,16526.627667207653
5439312321,"toshokan",1,8238.882404837315
5439312321,"toshokan",0,16322.836236573816
5439312321,"sangyoshinko",2,16193.608020377927
5439312321,"sangyoshinko",1,3599.804172730878
5439312321,"sangyoshinko",0,6407.599867203971
5439312321,"sports",5,8142.768884256162
5439312321,"sports",4,15130.385213338493
5439312321,"sports",3,15130.385213338493
5439312321,"sports",2,16958.760948240644
5439312321,"sports",1,16958.760948240644
5439312321,"sports",0,15820.512757115961
5439312321,"bunka",1,8238.882404837315
5439312321,"bunka",0,15447.80031631971
5439312321,"shiminkatsudo",3,17678.673182082926
5439312321,"shiminkatsudo",2,13457.776723263398
5439312321,"shiminkatsudo",1,15820.512757115961
5439312321,"shiminkatsudo",0,15943.837409598651
5439312321,"kominkan",12,9225.267752500984
5439312321,"kominkan",11,11782.98287146387
5439312321,"kominkan",10,9101.51731403973
5439312321,"kominkan",9,14645.274263528672
5439312321,"kominkan",8,17682.971973713655
5439312321,"kominkan",7,18405.971393629352
5439312321,"kominkan",6,18583.81385372211
5439312321,"kominkan",5,14079.275575092568
5439312321,"kominkan",4,16200.536510510945
5439312321,"kominkan",3,16694.47234608752
5439312321,"kominkan",2,17320.609188382034
5439312321,"kominkan",1,8238.882404837315
5439312321,"kominkan",0,15447.80031631971
5439312312,"super",4,9918.074675265198
5439312312,"super",3,8969.4544056738
